Designator,Mid X,Mid Y,Rotation,Layer
D1,86.2,-58.8,90.0,bottom
D10,65.18,-92.82,270.0,bottom
D2,105.2,-58.8,90.0,bottom
D3,124.31,-58.67,90.0,bottom
D4,86.2,-77.09,90.0,bottom
D5,105.27,-77.07,90.0,bottom
D6,124.45,-77.1,90.0,bottom
D7,86.02,-96.71,90.0,bottom
D8,105.17,-96.8,90.0,bottom
D9,124.34,-96.89,90.0,bottom
MX1,76.7,-56.75,0.0,top
MX2,95.75,-56.75,0.0,top
MX3,114.8,-56.75,0.0,top
MX4,76.7,-75.8,0.0,top
MX5,95.75,-75.8,0.0,top
MX6,114.8,-75.8,0.0,top
MX7,76.7,-94.85,0.0,top
MX8,95.75,-94.85,0.0,top
MX9,114.8,-94.85,0.0,top
SW1,54.47,-95.09,0.0,top
U2,54.2,-61.58,0.0,top
